flight_id,airline,origin,destination,departure_delay,arrival_delay,distance,date
89,IndiGo,Kolkata,Chennai,10,19,531,2023-07-25
90,IndiGo,Pune,Bangalore,7,22,1544,2023-06-01
91,IndiGo,Kolkata,Hyderabad,15,13,1636,2023-01-05
92,IndiGo,Mumbai,Delhi,1,5,1311,2023-06-03
93,IndiGo,Pune,Hyderabad,8,13,1585,2023-05-15
94,IndiGo,Chennai,Pune,13,14,468,2023-01-17
95,IndiGo,Ahmedabad,Kolkata,3,-2,1028,2023-04-24
96,IndiGo,Delhi,Pune,6,12,1760,2023-01-08
97,IndiGo,Bangalore,Delhi,11,7,1439,2023-04-07
98,IndiGo,Mumbai,Pune,11,14,1501,2023-11-10
99,IndiGo,Hyderabad,Delhi,2,4,1423,2023-03-28
100,IndiGo,Chennai,Mumbai,10,7,839,2023-01-11
101,IndiGo,Mumbai,Chennai,12,16,1435,2023-09-28
102,IndiGo,Hyderabad,Mumbai,18,25,824,2023-05-24
103,IndiGo,Chennai,Pune,-1,-3,1446,2023-05-09
104,IndiGo,Bangalore,Delhi,14,18,1097,2023-01-23
105,IndiGo,Hyderabad,Pune,14,35,959,2023-09-29
106,IndiGo,Ahmedabad,Bangalore,14,21,1537,2023-05-12
107,IndiGo,Mumbai,Chennai,17,22,1933,2023-01-07
108,IndiGo,Bangalore,Pune,7,12,514,2023-10-27
109,IndiGo,Mumbai,Bangalore,3,3,1406,2023-06-28
110,IndiGo,Delhi,Kolkata,6,8,1746,2023-10-22
111,IndiGo,Delhi,Mumbai,28,21,563,2023-01-23
112,IndiGo,Ahmedabad,Bangalore,15,9,921,2023-08-25
113,IndiGo,Ahmedabad,Bangalore,6,13,1680,2023-05-10
114,IndiGo,Mumbai,Bangalore,10,7,1532,2023-10-23
115,IndiGo,Ahmedabad,Kolkata,4,9,1935,2023-07-12
116,IndiGo,Kolkata,Pune,4,7,1295,2023-09-30
117,IndiGo,Mumbai,Hyderabad,10,9,523,2023-02-11
118,IndiGo,Delhi,Kolkata,27,32,1636,2023-09-15
119,IndiGo,Kolkata,Pune,-5,-4,424,2023-09-19
120,IndiGo,Chennai,Kolkata,4,10,1774,2023-11-26
121,IndiGo,Delhi,Hyderabad,3,4,1529,2023-06-30
122,IndiGo,Chennai,Pune,14,20,1386,2023-07-22
123,IndiGo,Kolkata,Chennai,0,0,653,2023-08-19
124,IndiGo,Kolkata,Hyderabad,6,5,1210,2023-01-04
125,IndiGo,Pune,Chennai,24,28,961,2023-01-11
126,IndiGo,Pune,Ahmedabad,0,6,997,2023-10-08
127,IndiGo,Hyderabad,Bangalore,26,33,763,2023-01-11
128,IndiGo,Chennai,Mumbai,-2,-2,942,2023-02-09
129,IndiGo,Chennai,Delhi,20,19,918,2023-04-17
130,IndiGo,Kolkata,Mumbai,13,18,1960,2023-03-31
131,IndiGo,Pune,Mumbai,2,3,1915,2023-11-24
132,IndiGo,Kolkata,Hyderabad,-5,-5,690,2023-11-24
133,IndiGo,Mumbai,Hyderabad,7,3,1326,2023-02-01
134,IndiGo,Chennai,Hyderabad,23,18,1960,2023-05-02
135,IndiGo,Ahmedabad,Kolkata,6,8,1032,2023-12-31
136,IndiGo,Bangalore,Delhi,21,16,1269,2023-06-28
137,IndiGo,Pune,Bangalore,19,21,1065,2023-05-02
138,IndiGo,Bangalore,Kolkata,2,6,1471,2023-03-18
139,IndiGo,Ahmedabad,Hyderabad,11,10,787,2023-04-11
140,IndiGo,Bangalore,Kolkata,10,10,1231,2023-05-19
141,IndiGo,Ahmedabad,Bangalore,10,15,873,2023-08-19
142,IndiGo,Hyderabad,Mumbai,22,18,726,2023-04-15
143,IndiGo,Bangalore,Ahmedabad,27,20,518,2023-03-08
144,IndiGo,Delhi,Pune,8,12,1287,2023-06-10
145,IndiGo,Mumbai,Bangalore,12,11,1684,2023-11-25
146,IndiGo,Pune,Mumbai,8,8,904,2023-06-25
147,IndiGo,Ahmedabad,Delhi,5,11,751,2023-08-12
148,IndiGo,Bangalore,Kolkata,12,11,1126,2023-05-31
149,IndiGo,Delhi,Bangalore,17,20,426,2023-08-29
150,IndiGo,Kolkata,Ahmedabad,16,21,1554,2023-11-05
151,IndiGo,Delhi,Bangalore,3,3,1083,2023-02-17
152,IndiGo,Kolkata,Delhi,15,20,1881,2023-07-09
153,IndiGo,Ahmedabad,Pune,9,11,631,2023-08-09
154,IndiGo,Mumbai,Pune,20,20,1491,2023-09-05
155,IndiGo,Mumbai,Hyderabad,14,14,799,2023-03-13
156,IndiGo,Kolkata,Ahmedabad,8,15,844,2023-03-02
157,IndiGo,Bangalore,Mumbai,16,22,907,2023-03-20
158,IndiGo,Pune,Delhi,20,22,1890,2023-03-20
159,IndiGo,Kolkata,Mumbai,15,15,1076,2023-08-01
160,IndiGo,Hyderabad,Chennai,12,13,956,2023-12-16
161,IndiGo,Hyderabad,Bangalore,10,14,1239,2023-07-29
162,IndiGo,Ahmedabad,Delhi,3,15,1835,2023-10-19
163,IndiGo,Mumbai,Ahmedabad,1,-3,750,2023-01-09
164,IndiGo,Delhi,Pune,19,24,693,2023-09-12
165,IndiGo,Mumbai,Delhi,14,19,867,2023-04-24
166,IndiGo,Kolkata,Hyderabad,9,7,960,2023-05-13
167,IndiGo,Mumbai,Pune,10,9,1401,2023-07-16
168,IndiGo,Hyderabad,Bangalore,17,18,1836,2023-01-27
169,IndiGo,Delhi,Pune,3,3,1212,2023-04-29
170,IndiGo,Bangalore,Delhi,13,13,487,2023-08-26
171,IndiGo,Bangalore,Hyderabad,3,6,579,2023-04-27
172,IndiGo,Pune,Chennai,11,11,1887,2023-04-24
173,IndiGo,Pune,Ahmedabad,6,9,791,2023-10-05
174,IndiGo,Kolkata,Delhi,-1,-5,1084,2023-05-05
175,IndiGo,Ahmedabad,Bangalore,4,4,1229,2023-07-30
176,IndiGo,Hyderabad,Delhi,12,21,1292,2023-04-30
177,IndiGo,Mumbai,Chennai,16,17,439,2023-04-14
178,IndiGo,Chennai,Hyderabad,9,6,1602,2023-04-08
179,IndiGo,Pune,Delhi,9,9,1330,2023-07-30
180,IndiGo,Delhi,Bangalore,12,10,896,2023-07-06
181,IndiGo,Kolkata,Delhi,14,23,1250,2023-06-09
182,IndiGo,Bangalore,Delhi,9,13,1953,2023-12-29
183,IndiGo,Mumbai,Hyderabad,15,15,1918,2023-08-13
184,IndiGo,Delhi,Hyderabad,11,13,844,2023-12-24
185,IndiGo,Kolkata,Bangalore,10,9,779,2023-06-10
186,IndiGo,Kolkata,Chennai,10,14,1609,2023-02-15
187,IndiGo,Delhi,Ahmedabad,21,27,515,2023-02-14
188,IndiGo,Chennai,Kolkata,27,26,595,2023-08-18
189,IndiGo,Pune,Mumbai,16,18,1022,2023-01-20
190,IndiGo,Mumbai,Pune,27,25,1588,2023-04-17
191,IndiGo,Bangalore,Hyderabad,3,3,983,2023-09-18
192,IndiGo,Chennai,Mumbai,-5,-5,1088,2023-10-16
193,IndiGo,Kolkata,Pune,3,5,1387,2023-01-10
194,IndiGo,Kolkata,Mumbai,12,23,1578,2023-09-08
195,IndiGo,Bangalore,Hyderabad,17,17,630,2023-08-25
196,IndiGo,Pune,Kolkata,2,6,969,2023-11-05
197,IndiGo,Mumbai,Hyderabad,0,11,1074,2023-06-21
198,IndiGo,Mumbai,Delhi,19,19,550,2023-01-23
199,IndiGo,Pune,Ahmedabad,-3,5,826,2023-03-26
200,IndiGo,Bangalore,Kolkata,9,17,816,2023-07-16
201,IndiGo,Hyderabad,Kolkata,-2,-2,1952,2023-11-25
202,IndiGo,Delhi,Kolkata,10,12,1465,2023-08-04
203,IndiGo,Bangalore,Mumbai,6,11,1439,2023-09-30
204,IndiGo,Hyderabad,Ahmedabad,1,2,1054,2023-06-28
205,IndiGo,Pune,Bangalore,10,14,1012,2023-10-09
206,IndiGo,Bangalore,Kolkata,15,12,984,2023-08-02
207,IndiGo,Pune,Delhi,-2,6,1185,2023-07-25
208,IndiGo,Hyderabad,Pune,12,11,704,2023-01-21
209,IndiGo,Kolkata,Delhi,22,24,1468,2023-02-23
210,IndiGo,Hyderabad,Ahmedabad,19,21,469,2023-01-26
211,IndiGo,Bangalore,Kolkata,26,36,1302,2023-08-17
212,IndiGo,Bangalore,Pune,8,14,816,2023-11-02
213,IndiGo,Delhi,Bangalore,15,23,879,2023-04-14
214,IndiGo,Ahmedabad,Pune,2,7,802,2023-04-07
215,IndiGo,Delhi,Hyderabad,18,12,767,2023-04-28
216,IndiGo,Pune,Kolkata,0,-5,1068,2023-05-11
217,IndiGo,Bangalore,Delhi,7,12,1642,2023-12-04
218,IndiGo,Kolkata,Pune,22,24,833,2023-03-02
219,IndiGo,Kolkata,Bangalore,23,19,1962,2023-08-27
220,IndiGo,Chennai,Delhi,-3,-2,999,2023-06-16
221,IndiGo,Delhi,Bangalore,13,14,1999,2023-11-09
222,IndiGo,Bangalore,Kolkata,-5,-5,708,2023-01-08
223,IndiGo,Chennai,Kolkata,0,5,1688,2023-02-09
224,IndiGo,Ahmedabad,Mumbai,12,10,1891,2023-08-09
225,IndiGo,Ahmedabad,Chennai,5,2,1665,2023-06-05
226,IndiGo,Chennai,Kolkata,9,15,1510,2023-03-06
227,IndiGo,Ahmedabad,Pune,2,6,1810,2023-05-13
228,IndiGo,Bangalore,Ahmedabad,5,4,1591,2023-12-01
229,IndiGo,Ahmedabad,Kolkata,9,6,1642,2023-04-19
230,IndiGo,Pune,Kolkata,5,2,1722,2023-08-02
231,IndiGo,Mumbai,Delhi,25,27,1102,2023-12-12
232,IndiGo,Bangalore,Pune,4,7,898,2023-07-28
233,IndiGo,Pune,Bangalore,9,9,1428,2023-06-18
234,IndiGo,Kolkata,Mumbai,14,19,441,2023-04-22
235,IndiGo,Pune,Chennai,5,5,1713,2023-01-03
236,IndiGo,Kolkata,Ahmedabad,7,-2,1048,2023-08-30
237,IndiGo,Bangalore,Mumbai,-2,6,1994,2023-09-20
238,IndiGo,Mumbai,Delhi,23,23,1929,2023-09-12
239,IndiGo,Pune,Mumbai,14,17,1385,2023-10-26
240,IndiGo,Pune,Mumbai,34,41,1004,2023-08-06
241,IndiGo,Ahmedabad,Bangalore,8,6,646,2023-06-20
242,IndiGo,Kolkata,Bangalore,-2,1,1631,2023-10-18
243,IndiGo,Ahmedabad,Chennai,3,-2,711,2023-10-11
244,IndiGo,Pune,Kolkata,4,1,599,2023-10-08
245,IndiGo,Pune,Delhi,23,29,1130,2023-07-19
246,IndiGo,Pune,Delhi,9,18,1288,2023-09-25
247,IndiGo,Ahmedabad,Delhi,10,8,1525,2023-04-28
248,IndiGo,Chennai,Hyderabad,22,26,886,2023-02-21
249,IndiGo,Chennai,Mumbai,1,2,614,2023-10-14
250,IndiGo,Hyderabad,Chennai,2,-2,1305,2023-03-05
251,IndiGo,Delhi,Kolkata,17,28,430,2023-05-12
252,IndiGo,Chennai,Hyderabad,-1,3,549,2023-08-10
253,IndiGo,Kolkata,Chennai,4,4,1045,2023-11-30
254,IndiGo,Chennai,Pune,5,3,424,2023-12-02
255,IndiGo,Mumbai,Pune,10,8,425,2023-11-20
256,IndiGo,Pune,Delhi,12,13,1732,2023-07-15
257,IndiGo,Hyderabad,Delhi,8,6,1595,2023-01-21
258,IndiGo,Chennai,Bangalore,5,10,1226,2023-07-25
259,IndiGo,Chennai,Ahmedabad,14,12,1362,2023-12-06
260,IndiGo,Chennai,Mumbai,10,15,757,2023-06-21
261,IndiGo,Delhi,Bangalore,-3,1,1845,2023-04-18
262,IndiGo,Hyderabad,Kolkata,4,8,1296,2023-03-30
263,IndiGo,Kolkata,Pune,3,-4,619,2023-07-11
264,IndiGo,Mumbai,Bangalore,-3,-1,1951,2023-06-26
265,IndiGo,Mumbai,Hyderabad,12,10,513,2023-01-05
266,IndiGo,Hyderabad,Pune,15,9,1465,2023-09-17
267,IndiGo,Chennai,Ahmedabad,9,5,740,2023-04-06
268,IndiGo,Mumbai,Kolkata,4,6,434,2023-04-24
269,IndiGo,Chennai,Pune,3,3,1706,2023-08-19
270,IndiGo,Bangalore,Pune,18,18,1857,2023-01-01
271,IndiGo,Chennai,Pune,16,13,1162,2023-03-14
272,IndiGo,Mumbai,Bangalore,14,23,1644,2023-12-10
273,IndiGo,Kolkata,Pune,-5,-5,1598,2023-08-01
274,IndiGo,Chennai,Ahmedabad,14,14,1943,2023-09-09
275,IndiGo,Bangalore,Ahmedabad,12,11,1307,2023-07-24
276,IndiGo,Pune,Kolkata,10,11,1699,2023-11-01
277,IndiGo,Pune,Hyderabad,19,22,1245,2023-04-22
278,IndiGo,Kolkata,Hyderabad,12,12,1474,2023-07-19
279,IndiGo,Delhi,Kolkata,6,6,1014,2023-03-25
280,IndiGo,Delhi,Mumbai,13,13,916,2023-03-13
281,IndiGo,Delhi,Ahmedabad,12,24,516,2023-02-09
282,IndiGo,Mumbai,Pune,16,16,1161,2023-07-19
283,IndiGo,Hyderabad,Kolkata,19,19,1946,2023-03-30
284,IndiGo,Mumbai,Ahmedabad,-5,-5,585,2023-03-30
285,IndiGo,Ahmedabad,Bangalore,-4,-4,754,2023-09-03
286,IndiGo,Delhi,Kolkata,10,20,1463,2023-06-05
287,IndiGo,Hyderabad,Mumbai,12,12,517,2023-06-12
288,IndiGo,Mumbai,Bangalore,16,7,1373,2023-10-01
289,IndiGo,Ahmedabad,Mumbai,11,16,452,2023-07-01
290,IndiGo,Delhi,Kolkata,-1,6,1607,2023-01-28
291,IndiGo,Bangalore,Chennai,12,12,985,2023-03-01
292,IndiGo,Mumbai,Pune,15,28,1448,2023-05-03
293,IndiGo,Mumbai,Kolkata,11,14,1677,2023-08-27
294,IndiGo,Kolkata,Chennai,6,4,1276,2023-05-14
295,IndiGo,Pune,Bangalore,16,14,1759,2023-05-18
296,IndiGo,Hyderabad,Mumbai,10,10,551,2023-05-22
297,IndiGo,Kolkata,Bangalore,13,16,1320,2023-11-21
298,IndiGo,Kolkata,Mumbai,18,18,1899,2023-08-02
299,IndiGo,Bangalore,Kolkata,7,5,686,2023-12-23
300,IndiGo,Kolkata,Bangalore,6,9,595,2023-10-16
301,IndiGo,Hyderabad,Pune,16,14,1527,2023-03-15
302,IndiGo,Delhi,Hyderabad,16,24,1285,2023-03-14
303,IndiGo,Pune,Hyderabad,13,24,715,2023-11-19
304,IndiGo,Pune,Chennai,3,-1,1347,2023-10-03
305,IndiGo,Hyderabad,Chennai,-4,5,798,2023-07-19
306,IndiGo,Bangalore,Delhi,15,16,674,2023-12-19
307,IndiGo,Mumbai,Pune,12,9,1853,2023-11-15
308,IndiGo,Mumbai,Ahmedabad,29,31,1326,2023-08-24
309,IndiGo,Hyderabad,Chennai,10,15,1552,2023-12-29
310,IndiGo,Kolkata,Delhi,13,16,482,2023-11-29
311,IndiGo,Ahmedabad,Hyderabad,3,7,687,2023-05-02
312,IndiGo,Kolkata,Bangalore,25,33,474,2023-03-05
313,IndiGo,Delhi,Chennai,22,22,1050,2023-10-08
314,IndiGo,Bangalore,Hyderabad,2,3,507,2023-08-13
315,IndiGo,Ahmedabad,Delhi,10,17,401,2023-01-29
316,IndiGo,Kolkata,Chennai,-3,6,1837,2023-05-03
317,IndiGo,Hyderabad,Bangalore,8,8,1397,2023-01-29
318,IndiGo,Chennai,Bangalore,1,-5,415,2023-01-12
319,IndiGo,Kolkata,Bangalore,16,18,1493,2023-06-20
320,IndiGo,Kolkata,Pune,0,-4,671,2023-09-21
321,IndiGo,Pune,Hyderabad,7,17,1800,2023-06-16
322,IndiGo,Hyderabad,Mumbai,7,2,842,2023-04-18
323,IndiGo,Pune,Delhi,8,8,593,2023-10-30
324,IndiGo,Hyderabad,Ahmedabad,-5,-5,995,2023-05-10
325,IndiGo,Bangalore,Mumbai,8,13,1153,2023-09-18
326,IndiGo,Mumbai,Bangalore,24,31,1542,2023-08-17
327,IndiGo,Bangalore,Delhi,7,4,1346,2023-05-25
328,IndiGo,Kolkata,Mumbai,30,32,1250,2023-09-02
329,IndiGo,Ahmedabad,Mumbai,10,11,1566,2023-07-23
330,IndiGo,Pune,Delhi,11,12,532,2023-10-18
331,IndiGo,Delhi,Hyderabad,5,5,1082,2023-04-19
332,IndiGo,Pune,Mumbai,9,9,650,2023-02-25
333,IndiGo,Bangalore,Ahmedabad,4,6,422,2023-05-02
334,IndiGo,Bangalore,Hyderabad,7,16,1622,2023-06-18
335,IndiGo,Bangalore,Chennai,-5,-4,1610,2023-07-26
336,IndiGo,Kolkata,Mumbai,19,11,1865,2023-04-28
337,IndiGo,Hyderabad,Kolkata,7,7,1948,2023-04-28
338,IndiGo,Chennai,Bangalore,-1,-2,924,2023-08-21
339,IndiGo,Hyderabad,Chennai,1,11,928,2023-10-20
340,IndiGo,Ahmedabad,Bangalore,17,25,1599,2023-08-16
341,IndiGo,Ahmedabad,Kolkata,15,12,579,2023-05-22
342,IndiGo,Hyderabad,Delhi,5,9,1006,2023-12-25
343,IndiGo,Hyderabad,Chennai,0,5,1847,2023-05-18
344,IndiGo,Bangalore,Chennai,8,8,962,2023-01-10
345,IndiGo,Pune,Bangalore,15,19,1780,2023-10-25
346,IndiGo,Chennai,Pune,7,14,1976,2023-11-28
347,IndiGo,Kolkata,Mumbai,1,6,1261,2023-03-27
348,IndiGo,Pune,Kolkata,14,14,1766,2023-12-17
349,IndiGo,Bangalore,Mumbai,12,8,693,2023-09-08
350,IndiGo,Ahmedabad,Pune,17,18,1845,2023-04-09
351,IndiGo,Kolkata,Mumbai,5,12,1195,2023-12-14
352,IndiGo,Hyderabad,Mumbai,4,-1,1094,2023-04-01
353,IndiGo,Mumbai,Bangalore,-2,3,1325,2023-02-20
354,IndiGo,Mumbai,Hyderabad,0,10,1941,2023-03-31
355,IndiGo,Hyderabad,Chennai,-5,4,1449,2023-08-31
356,IndiGo,Chennai,Pune,11,12,1985,2023-06-14
357,IndiGo,Bangalore,Delhi,5,8,1615,2023-06-09
358,IndiGo,Chennai,Ahmedabad,9,16,515,2023-10-03
359,IndiGo,Hyderabad,Ahmedabad,10,12,782,2023-11-23
360,IndiGo,Delhi,Kolkata,7,8,412,2023-04-15
361,IndiGo,Ahmedabad,Delhi,12,6,1492,2023-11-10
362,IndiGo,Delhi,Mumbai,0,5,1248,2023-04-08
363,IndiGo,Hyderabad,Kolkata,11,12,1934,2023-04-19
364,IndiGo,Delhi,Mumbai,10,13,644,2023-12-22
365,IndiGo,Mumbai,Kolkata,5,4,1459,2023-11-04
366,IndiGo,Ahmedabad,Delhi,11,9,1341,2023-05-25
367,IndiGo,Bangalore,Kolkata,13,7,648,2023-05-09
368,IndiGo,Chennai,Hyderabad,18,22,446,2023-02-05
369,IndiGo,Chennai,Ahmedabad,12,18,1984,2023-10-21
370,IndiGo,Kolkata,Ahmedabad,23,30,1129,2023-06-30
371,IndiGo,Kolkata,Bangalore,-4,-5,1433,2023-04-14
372,IndiGo,Kolkata,Delhi,5,7,1614,2023-07-05
373,IndiGo,Kolkata,Bangalore,14,13,613,2023-01-02
374,IndiGo,Bangalore,Chennai,11,10,767,2023-08-03
375,IndiGo,Chennai,Ahmedabad,5,0,829,2023-10-08
376,IndiGo,Kolkata,Mumbai,2,-2,946,2023-08-09
377,IndiGo,Kolkata,Hyderabad,2,9,1090,2023-12-04
378,IndiGo,Kolkata,Chennai,2,17,951,2023-06-04
379,IndiGo,Mumbai,Pune,13,15,1684,2023-08-16
380,IndiGo,Kolkata,Delhi,3,8,710,2023-05-30
381,IndiGo,Chennai,Bangalore,5,7,610,2023-04-26
382,IndiGo,Mumbai,Bangalore,30,31,818,2023-05-07
383,IndiGo,Kolkata,Mumbai,19,18,1156,2023-10-26
384,IndiGo,Bangalore,Hyderabad,9,19,980,2023-09-30
385,IndiGo,Chennai,Kolkata,4,15,1748,2023-03-13
386,IndiGo,Pune,Mumbai,15,15,1697,2023-02-21
387,IndiGo,Kolkata,Pune,15,21,1982,2023-12-23
388,IndiGo,Ahmedabad,Chennai,14,9,1820,2023-11-14
389,IndiGo,Kolkata,Bangalore,4,4,1728,2023-09-14
390,IndiGo,Hyderabad,Chennai,9,14,540,2023-01-14
391,IndiGo,Kolkata,Pune,11,7,1379,2023-06-15
392,IndiGo,Bangalore,Mumbai,13,18,1447,2023-01-31
393,IndiGo,Bangalore,Hyderabad,14,21,1867,2023-02-10
394,IndiGo,Hyderabad,Mumbai,16,20,1985,2023-04-20
395,IndiGo,Delhi,Pune,9,3,1477,2023-03-15
396,IndiGo,Bangalore,Kolkata,13,16,977,2023-11-15
397,IndiGo,Hyderabad,Kolkata,12,8,1546,2023-05-04
398,IndiGo,Hyderabad,Ahmedabad,1,8,1331,2023-09-07
399,IndiGo,Bangalore,Delhi,9,14,1479,2023-03-31
400,IndiGo,Bangalore,Chennai,10,12,1214,2023-02-10
401,IndiGo,Bangalore,Chennai,17,17,601,2023-07-05
402,IndiGo,Kolkata,Bangalore,10,10,1367,2023-01-21
403,IndiGo,Bangalore,Ahmedabad,6,6,1827,2023-02-18
404,IndiGo,Delhi,Kolkata,11,11,733,2023-12-31
405,IndiGo,Mumbai,Bangalore,20,18,674,2023-03-26
406,IndiGo,Chennai,Hyderabad,8,8,990,2023-06-07
407,IndiGo,Kolkata,Pune,21,23,1508,2023-01-26
408,IndiGo,Bangalore,Ahmedabad,18,13,1660,2023-04-06
409,IndiGo,Delhi,Kolkata,12,18,1378,2023-02-17
410,IndiGo,Kolkata,Hyderabad,10,17,537,2023-04-20
411,IndiGo,Kolkata,Ahmedabad,5,14,1535,2023-09-19
412,IndiGo,Hyderabad,Mumbai,28,28,1930,2023-06-02
413,IndiGo,Chennai,Hyderabad,6,15,846,2023-01-30
414,IndiGo,Ahmedabad,Pune,22,22,1077,2023-06-22
415,IndiGo,Ahmedabad,Kolkata,6,6,1375,2023-09-21
416,IndiGo,Mumbai,Hyderabad,0,-2,1053,2023-08-31
